code,units,body,helpers,early,day,night,deep,is_increase,content
160129,651,あり,1,0.5,1,0,0,FALSE,身体あり早朝０．５・日中１．０
160130,651,あり,2,0.5,1,0,0,FALSE,身体あり早朝０．５・日中１．０・２人
160131,733,あり,1,0.5,1.5,0,0,FALSE,身体あり早朝０．５・日中１．５
160132,733,あり,2,0.5,1.5,0,0,FALSE,身体あり早朝０．５・日中１．５・２人
160133,818,あり,1,0.5,2,0,0,FALSE,身体あり早朝０．５・日中２．０
160134,818,あり,2,0.5,2,0,0,FALSE,身体あり早朝０．５・日中２．０・２人
160135,901,あり,1,0.5,2.5,0,0,FALSE,身体あり早朝０．５・日中２．５
160136,901,あり,2,0.5,2.5,0,0,FALSE,身体あり早朝０．５・日中２．５・２人
160137,688,あり,1,1,0.5,0,0,FALSE,身体あり早朝１．０・日中０．５
160138,688,あり,2,1,0.5,0,0,FALSE,身体あり早朝１．０・日中０．５・２人
160139,770,あり,1,1,1,0,0,FALSE,身体あり早朝１．０・日中１．０
160140,770,あり,2,1,1,0,0,FALSE,身体あり早朝１．０・日中１．０・２人
160141,855,あり,1,1,1.5,0,0,FALSE,身体あり早朝１．０・日中１．５
160142,855,あり,2,1,1.5,0,0,FALSE,身体あり早朝１．０・日中１．５・２人
160143,938,あり,1,1,2,0,0,FALSE,身体あり早朝１．０・日中２．０
160144,938,あり,2,1,2,0,0,FALSE,身体あり早朝１．０・日中２．０・２人
160145,816,あり,1,1.5,0.5,0,0,FALSE,身体あり早朝１．５・日中０．５
160146,816,あり,2,1.5,0.5,0,0,FALSE,身体あり早朝１．５・日中０．５・２人
160147,901,あり,1,1.5,1,0,0,FALSE,身体あり早朝１．５・日中１．０
160148,901,あり,2,1.5,1,0,0,FALSE,身体あり早朝１．５・日中１．０・２人
160149,984,あり,1,1.5,1.5,0,0,FALSE,身体あり早朝１．５・日中１．５
160150,984,あり,2,1.5,1.5,0,0,FALSE,身体あり早朝１．５・日中１．５・２人
160151,921,あり,1,2,0.5,0,0,FALSE,身体あり早朝２．０・日中０．５
160152,921,あり,2,2,0.5,0,0,FALSE,身体あり早朝２．０・日中０．５・２人
160153,"1,004",あり,1,2,1,0,0,FALSE,身体あり早朝２．０・日中１．０
160154,"1,004",あり,2,2,1,0,0,FALSE,身体あり早朝２．０・日中１．０・２人
160155,"1,026",あり,1,2.5,0.5,0,0,FALSE,身体あり早朝２．５・日中０．５
160156,"1,026",あり,2,2.5,0.5,0,0,FALSE,身体あり早朝２．５・日中０．５・２人
160157,441,あり,1,0,0.5,0.5,0,FALSE,身体あり日中０．５・夜間０．５
160158,441,あり,2,0,0.5,0.5,0,FALSE,身体あり日中０．５・夜間０．５・２人
160159,670,あり,1,0,0.5,1,0,FALSE,身体あり日中０．５・夜間１．０
160160,670,あり,2,0,0.5,1,0,FALSE,身体あり日中０．５・夜間１．０・２人
160161,772,あり,1,0,0.5,1.5,0,FALSE,身体あり日中０．５・夜間１．５
160162,772,あり,2,0,0.5,1.5,0,FALSE,身体あり日中０．５・夜間１．５・２人
160163,879,あり,1,0,0.5,2,0,FALSE,身体あり日中０．５・夜間２．０
160164,879,あり,2,0,0.5,2,0,FALSE,身体あり日中０．５・夜間２．０・２人
160165,982,あり,1,0,0.5,2.5,0,FALSE,身体あり日中０．５・夜間２．５
160166,982,あり,2,0,0.5,2.5,0,FALSE,身体あり日中０．５・夜間２．５・２人
160167,633,あり,1,0,1,0.5,0,FALSE,身体あり日中１．０・夜間０．５
160168,633,あり,2,0,1,0.5,0,FALSE,身体あり日中１．０・夜間０．５・２人
160169,735,あり,1,0,1,1,0,FALSE,身体あり日中１．０・夜間１．０
160170,735,あり,2,0,1,1,0,FALSE,身体あり日中１．０・夜間１．０・２人
160171,842,あり,1,0,1,1.5,0,FALSE,身体あり日中１．０・夜間１．５
160172,842,あり,2,0,1,1.5,0,FALSE,身体あり日中１．０・夜間１．５・２人
160173,945,あり,1,0,1,2,0,FALSE,身体あり日中１．０・夜間２．０
160174,945,あり,2,0,1,2,0,FALSE,身体あり日中１．０・夜間２．０・２人
160175,690,あり,1,0,1.5,0.5,0,FALSE,身体あり日中１．５・夜間０．５
160176,690,あり,2,0,1.5,0.5,0,FALSE,身体あり日中１．５・夜間０．５・２人
160177,796,あり,1,0,1.5,1,0,FALSE,身体あり日中１．５・夜間１．０
160178,796,あり,2,0,1.5,1,0,FALSE,身体あり日中１．５・夜間１．０・２人
160179,900,あり,1,0,1.5,1.5,0,FALSE,身体あり日中１．５・夜間１．５
160180,900,あり,2,0,1.5,1.5,0,FALSE,身体あり日中１．５・夜間１．５・２人
160181,775,あり,1,0,2,0.5,0,FALSE,身体あり日中２．０・夜間０．５
160182,775,あり,2,0,2,0.5,0,FALSE,身体あり日中２．０・夜間０．５・２人
160183,879,あり,1,0,2,1,0,FALSE,身体あり日中２．０・夜間１．０
160184,879,あり,2,0,2,1,0,FALSE,身体あり日中２．０・夜間１．０・２人
160185,858,あり,1,0,2.5,0.5,0,FALSE,身体あり日中２．５・夜間０．５
